Number;Age;Language;CulturalProfile;Gender;Province;Income;Favoured_Product;JoinYear;Overdue;CurrentMOP;ClusterGroup
3947;28;English;2;Male;EC;H;Product1;2012;1;Cash;2
3968;28;English;3;Male;EC;G;Product6;2010;1;Cash;2
4000;28;English;2;Male;EC;G;Product3;2012;1;Cash;2
4010;29;English;2;Male;EC;H;Product3;2009;1;Cash;2
4066;29;English;2;Female;EC;B;Product1;2012;1;Cash;6
4067;29;English;2;Female;EC;;Product4;2013;0;Cash;6
4076;29;English;3;Male;EC;B;Product3;2007;0;Cash;6
4107;29;English;2;Male;EC;;Product5;2013;0;Cash;6
4126;29;English;3;Female;EC;H;Product3;2010;1;Cash;2
4132;29;English;3;Male;EC;G;Product3;2010;1;Cash;2
4158;29;English;2;Male;EC;H;Product5;2012;1;Cash;2
4181;29;English;3;Male;EC;H;Product10;2009;1;Cash;4
4182;29;English;2;Female;EC;I;Product5;2012;1;Cash;2
4229;29;English;2;Male;EC;;Product3;2013;0;Cash;6
4254;29;English;2;Female;EC;I;Product6;2010;1;Cash;2
4261;29;English;2;Male;EC;;Product3;2013;0;Cash;6
4272;29;English;2;Female;EC;G;Product1;2006;1;Cash;4
4275;29;English;3;Female;EC;H;Product6;2011;1;Cash;2
4281;29;English;2;Male;EC;H;Product1;2008;1;Cash;2
4282;29;English;2;Male;EC;I;Product3;2011;1;Cash;2
4300;29;English;3;Male;EC;G;Product1;2010;0;Debit;2
4302;29;English;3;Female;EC;;Null;2013;0;Debit;4
4306;29;English;2;Male;EC;;Product3;2013;0;Cash;6
4308;29;English;3;Female;EC;A;Product1;2010;0;Cash;4
4337;29;Afrikaans;1;Female;EC;;Product6;2013;1;Cash;6
4360;29;English;2;Male;EC;C;Product1;2010;1;Cash;6
4368;29;English;2;Male;EC;I;Product8;2010;1;Cash;2
4448;29;English;2;Male;EC;;Product3;2011;0;Cash;6
4479;29;English;3;Male;EC;I;Product6;2012;1;Cash;2
4494;29;English;2;Male;EC;H;Product6;2012;1;Cash;2
4517;29;English;3;Female;EC;;Product3;2013;0;Cash;6
4570;29;English;2;Male;EC;H;Product1;2012;1;Cash;2
4575;29;English;2;Female;EC;E;Product3;2009;0;Debit;5
4624;29;English;2;Male;EC;I;Product3;2010;0;Cash;2
4638;29;English;3;Female;EC;;Product10;2010;1;Cash;4
4668;29;English;2;Male;EC;;Product1;2010;0;Cash;6
4703;29;English;2;Male;EC;H;Product3;2012;1;Cash;2
4710;29;English;3;Male;EC;C;Product1;2012;0;Debit;4
4713;29;English;2;Female;EC;;Product3;2011;1;Cash;6
4720;29;English;2;Male;EC;I;Product3;2012;1;Cash;2
4724;29;English;3;Male;EC;D;Product5;2011;1;Cash;6
4733;29;English;2;Male;EC;A;Product3;2011;1;Cash;6
4750;29;English;3;Male;EC;H;Product6;2010;0;Cash;2
4771;29;English;2;Male;EC;;Product3;2013;1;Cash;6
4778;29;English;2;Female;EC;;Product6;2013;0;Cash;6
4861;29;English;2;Female;EC;;Product4;2013;0;Cash;6
4916;29;English;3;Female;EC;;Product3;2013;0;Cash;6
4951;29;English;2;Female;EC;G;Product6;2010;0;Cash;2
4962;29;English;2;Female;EC;;Product4;2013;0;Cash;6
5027;30;English;3;Female;EC;;Product3;2013;1;Cash;6
5048;30;English;3;Male;EC;;Product1;2012;0;Cash;4
5084;30;English;3;Female;EC;F;Product1;2009;0;Debit;4
5137;30;English;3;Male;EC;B;Product1;2010;0;Debit;4
5140;30;English;1;Male;EC;A;Product1;2011;1;Cash;6
5145;30;English;2;Male;EC;I;Product3;2009;1;Cash;2
5148;30;English;2;Male;EC;I;Product3;2013;1;Cash;2
5161;30;English;2;Female;EC;H;Product3;2012;0;Cash;2
5163;30;English;2;Male;EC;C;Product1;2012;1;Cash;4
5166;30;English;2;Female;EC;G;Product3;2012;0;Cash;2
5186;30;English;3;Female;EC;H;Product3;2011;1;Cash;2
5192;30;English;3;Female;EC;C;Product1;2008;0;Debit;4
5209;30;English;2;Male;EC;;Null;2013;0;Cash;6
5231;30;English;3;Male;EC;B;Product1;2009;0;Debit;4
5232;30;English;3;Female;EC;H;Product5;2012;1;Cash;2
5269;30;English;2;Male;EC;;Product1;2011;1;Debit;5
5289;30;English;2;Male;EC;I;Product6;2012;1;Cash;2
5293;30;English;3;Male;EC;H;Product3;2012;1;Cash;2
5301;30;Afrikaans;3;Female;EC;G;Product10;2010;0;Debit;1
5304;30;English;2;Male;EC;D;Product3;2009;0;Debit;5
5305;30;English;3;Female;EC;;Product3;2013;0;Debit;6
5307;30;English;2;Male;EC;;Product3;2010;1;Cash;6
5328;30;English;2;Male;EC;I;Product3;2012;1;Cash;2
5349;30;English;3;Female;EC;G;Product1;2011;0;Debit;4
5351;30;English;3;Male;EC;;Product1;2013;0;Cash;4
5360;30;English;2;Male;EC;;Product1;2008;1;Cash;6
5371;30;Afrikaans;3;Male;EC;H;Product1;2010;1;Cash;1
5386;30;English;3;Male;EC;B;Product1;2010;0;Cash;4
5396;30;English;2;Male;EC;H;Product3;2010;1;Cash;2
5416;30;English;2;Female;EC;E;Product6;2011;1;Cash;2
5421;30;English;3;Female;EC;B;Product1;2008;1;Debit;4
5452;30;English;2;Male;EC;;Product6;2013;1;Cash;6
5453;30;Afrikaans;3;Male;EC;G;Product1;2012;0;Cash;1
5502;30;English;2;Female;EC;I;Product6;2010;0;Cash;2
5510;30;English;2;Male;EC;A;Product3;2011;1;Cash;6
5522;30;English;2;Male;EC;G;Product1;2008;0;Cash;4
5532;30;English;2;Male;EC;B;Product3;2011;0;Debit;5
5536;30;English;3;Female;EC;E;Product1;2009;1;Cash;4
5552;30;English;2;Male;EC;;Product3;2013;1;Cash;6
5557;30;English;3;Male;EC;G;Product3;2012;0;Cash;2
5594;30;English;2;Male;EC;;Null;2013;1;Cash;6
5619;30;English;3;Female;EC;H;Product3;2012;0;Cash;2
5631;30;English;2;Male;EC;G;Product6;2011;1;Cash;2
5658;30;English;2;Male;EC;F;Product6;2009;0;Cash;2
5665;30;English;2;Male;EC;;Product3;2013;1;Cash;6
5679;30;English;3;Female;EC;F;Product6;2010;0;Cash;2
5683;30;English;4;Female;EC;;Product3;2013;0;Cash;6
5721;30;English;2;Female;EC;E;Product3;2010;1;Cash;2
5732;30;English;3;Male;EC;;Product1;2013;1;Cash;4
5736;30;English;3;Male;EC;F;Product1;2007;1;Cash;4
5770;30;English;2;Female;EC;;Product6;2013;0;Cash;6
5771;30;English;3;Female;EC;F;Product3;2011;0;Cash;2
5775;30;English;3;Male;EC;E;Product1;2008;1;Cash;4
5804;30;English;2;Female;EC;H;Product3;2012;1;Cash;2
5816;30;English;3;Male;EC;E;Product1;2005;1;Cash;4
5825;30;English;2;Male;EC;C;Product1;2009;1;Cash;4
5837;30;English;2;Female;EC;I;Product3;2011;0;Cash;2
5868;30;English;3;Female;EC;C;Product1;2012;1;Cash;4
5883;30;English;2;Female;EC;;Product3;2013;0;Cash;6
5908;30;Afrikaans;3;Female;EC;G;Product1;2006;0;Debit;1
5940;30;English;3;Male;EC;B;Product1;2012;0;Debit;4
6027;31;English;3;Male;EC;C;Product1;2011;0;Debit;4
6058;31;English;2;Female;EC;C;Product1;2011;0;Cash;6
6061;31;English;3;Male;EC;F;Product3;2012;1;Cash;2
6063;31;English;3;Male;EC;;Product3;2011;1;Cash;6
6070;31;English;2;Male;EC;G;Product3;2008;0;Cash;2
6072;31;English;2;Male;EC;H;Product3;2012;1;Debit;5
